CD_MUNCP	DESIGNATION	NAME_MUNCP	MRC	REG_ADM
8005	Municipalité	Les Méchins	La Matanie	Bas-Saint-Laurent
25213	Ville	Lévis	Hors MRC \ Communauté métropolitaine de Québec	Chaudière-Appalaches
41085	Canton	Lingwick	Le Haut-Saint-François	Estrie
84040	Municipalité	Litchfield	Pontiac	Outaouais
80055	Canton	Lochaber	Papineau	Outaouais
80060	Canton	Lochaber-Partie-Ouest	Papineau	Outaouais
98045	Municipalité	Longue-Pointe-de-Mingan	Minganie	Côte-Nord
95032	Municipalité	Longue-Rive	La Haute-Côte-Nord	Côte-Nord
58227	Ville	Longueuil	Hors MRC \ Communauté métropolitaine de Montréal	Montérégie
73025	Ville	Lorraine	Thérèse-De Blainville \ Communauté métropolitaine de Montréal	Laurentides
85037	Municipalité	Lorrainville	Témiscamingue	Abitibi-Témiscamingue
33115	Municipalité	Lotbinière	Lotbinière	Chaudière-Appalaches
51015	Ville	Louiseville	Maskinongé	Mauricie
83010	Canton	Low	La Vallée-de-la-Gatineau	Outaouais
32065	Municipalité	Lyster	L'Érable	Centre-du-Québec
87058	Ville	Macamic	Abitibi-Ouest	Abitibi-Témiscamingue
39165	Municipalité	Maddington Falls	Arthabaska	Centre-du-Québec
45072	Ville	Magog	Memphrémagog	Estrie
89015	Ville	Malartic	La Vallée-de-l'Or	Abitibi-Témiscamingue
52095	Municipalité	Mandeville	D'Autray	Lanaudière
83065	Ville	Maniwaki	La Vallée-de-la-Gatineau	Outaouais
38028	Municipalité	Manseau	Bécancour	Centre-du-Québec
84065	Municipalité	Mansfield-et-Pontefract	Pontiac	Outaouais
6005	Municipalité	Maria	Avignon	Gaspésie–Îles-de-la-Madeleine
42065	Municipalité	Maricourt	Le Val-Saint-François	Estrie
55048	Ville	Marieville	Rouville	Montérégie
4025	Village	Marsoui	La Haute-Gaspésie	Gaspésie–Îles-de-la-Madeleine
30035	Canton	Marston	Le Granit	Estrie
44060	Municipalité	Martinville	Coaticook	Estrie
64015	Ville	Mascouche	Les Moulins \ Communauté métropolitaine de Montréal	Lanaudière
51008	Municipalité	Maskinongé	Maskinongé	Mauricie
53010	Village	Massueville	Pierre-De Saurel	Montérégie
99015	Ville	Matagami	Hors MRC	Nord-du-Québec
8053	Ville	Matane	La Matanie	Bas-Saint-Laurent
6045	Municipalité	Matapédia	Avignon	Gaspésie–Îles-de-la-Madeleine
80065	Municipalité	Mayo	Papineau	Outaouais
57025	Municipalité	McMasterville	La Vallée-du-Richelieu \ Communauté métropolitaine de Montréal	Montérégie
42075	Canton	Melbourne	Le Val-Saint-François	Estrie
67045	Ville	Mercier	Roussillon \ Communauté métropolitaine de Montréal	Montérégie
83060	Municipalité	Messines	La Vallée-de-la-Gatineau	Outaouais
93012	Ville	Métabetchouan–Lac-à-la-Croix	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
9048	Ville	Métis-sur-Mer	La Mitis	Bas-Saint-Laurent
30040	Municipalité	Milan	Le Granit	Estrie
76030	Municipalité	Mille-Isles	Argenteuil	Laurentides
74005	Ville	Mirabel	Hors MRC \ Communauté métropolitaine de Montréal	Laurentides
85075	Municipalité	Moffet	Témiscamingue	Abitibi-Témiscamingue
14005	Municipalité	Mont-Carmel	Kamouraska	Bas-Saint-Laurent
9077	Ville	Mont-Joli	La Mitis	Bas-Saint-Laurent
79088	Ville	Mont-Laurier	Antoine-Labelle	Laurentides
66072	Ville	Mont-Royal	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
56097	Municipalité	Mont-Saint-Grégoire	Le Haut-Richelieu	Montérégie
57035	Ville	Mont-Saint-Hilaire	La Vallée-du-Richelieu \ Communauté métropolitaine de Montréal	Montérégie
79110	Municipalité	Mont-Saint-Michel	Antoine-Labelle	Laurentides
4015	Village	Mont-Saint-Pierre	La Haute-Gaspésie	Gaspésie–Îles-de-la-Madeleine
78102	Ville	Mont-Tremblant	Les Laurentides	Laurentides
78055	Municipalité	Montcalm	Les Laurentides	Laurentides
83088	Municipalité	Montcerf-Lytton	La Vallée-de-la-Gatineau	Outaouais
80010	Municipalité	Montebello	Papineau	Outaouais
18050	Ville	Montmagny	Montmagny	Chaudière-Appalaches
80090	Municipalité	Montpellier	Papineau	Outaouais
66023	Ville	Montréal	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
66007	Ville	Montréal-Est	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
66047	Ville	Montréal-Ouest	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
77050	Municipalité	Morin-Heights	Les Pays-d'en-Haut	Laurentides
80085	Municipalité	Mulgrave-et-Derry	Papineau	Outaouais
3025	Ville	Murdochville	La Côte-de-Gaspé	Gaspésie–Îles-de-la-Madeleine
80110	Municipalité	Namur	Papineau	Outaouais
30045	Municipalité	Nantes	Le Granit	Estrie
68030	Municipalité	Napierville	Les Jardins-de-Napierville	Montérégie
98025	Municipalité	Natashquan	Minganie	Côte-Nord
85100	Canton	Nédélec	Témiscamingue	Abitibi-Témiscamingue
34007	Ville	Neuville	Portneuf	Capitale-Nationale
5040	Municipalité	New Carlisle	Bonaventure	Gaspésie–Îles-de-la-Madeleine
5070	Ville	New Richmond	Bonaventure	Gaspésie–Îles-de-la-Madeleine
41037	Municipalité	Newport	Le Haut-Saint-François	Estrie
50072	Ville	Nicolet	Nicolet-Yamaska	Centre-du-Québec
79030	Municipalité	Nominingue	Antoine-Labelle	Laurentides
92040	Ville	Normandin	Maria-Chapdelaine	Saguenay–Lac-Saint-Jean
87115	Municipalité	Normétal	Abitibi-Ouest	Abitibi-Témiscamingue
45050	Village	North Hatley	Memphrémagog	Estrie
19010	Paroisse	Notre-Dame-Auxiliatrice-de-Buckland	Bellechasse	Chaudière-Appalaches
80015	Municipalité	Notre-Dame-de-Bonsecours	Papineau	Outaouais
39015	Municipalité	Notre-Dame-de-Ham	Arthabaska	Centre-du-Québec
71065	Ville	Notre-Dame-de-l'Île-Perrot	Vaudreuil-Soulanges\ Communauté métropolitaine de Montréal	Montérégie
62055	Municipalité	Notre-Dame-de-la-Merci	Matawinie	Lanaudière
80020	Municipalité	Notre-Dame-de-la-Paix	Papineau	Outaouais
82010	Municipalité	Notre-Dame-de-la-Salette	Les Collines-de-l'Outaouais	Outaouais
92060	Municipalité	Notre-Dame-de-Lorette	Maria-Chapdelaine	Saguenay–Lac-Saint-Jean
61045	Municipalité	Notre-Dame-de-Lourdes	Joliette	Lanaudière
32080	Paroisse	Notre-Dame-de-Lourdes	L'Érable	Centre-du-Québec
35005	Municipalité	Notre-Dame-de-Montauban	Mékinac	Mauricie
79010	Municipalité	Notre-Dame-de-Pontmain	Antoine-Labelle	Laurentides
46100	Municipalité	Notre-Dame-de-Stanbridge	Brome-Missisquoi	Montérégie
23015	Paroisse	Notre-Dame-des-Anges	Hors MRC	Capitale-Nationale
30010	Municipalité	Notre-Dame-des-Bois	Le Granit	Estrie
15025	Municipalité	Notre-Dame-des-Monts	Charlevoix-Est	Capitale-Nationale
11045	Municipalité	Notre-Dame-des-Neiges	Les Basques	Bas-Saint-Laurent
29120	Paroisse	Notre-Dame-des-Pins	Beauce-Sartigan	Chaudière-Appalaches
61030	Ville	Notre-Dame-des-Prairies	Joliette	Lanaudière
12045	Paroisse	Notre-Dame-des-Sept-Douleurs	Rivière-du-Loup	Bas-Saint-Laurent
49080	Paroisse	Notre-Dame-du-Bon-Conseil	Drummond	Centre-du-Québec
49075	Village	Notre-Dame-du-Bon-Conseil	Drummond	Centre-du-Québec
79005	Municipalité	Notre-Dame-du-Laus	Antoine-Labelle	Laurentides
37235	Paroisse	Notre-Dame-du-Mont-Carmel	Les Chenaux	Mauricie
85090	Municipalité	Notre-Dame-du-Nord	Témiscamingue	Abitibi-Témiscamingue
12080	Municipalité	Notre-Dame-du-Portage	Rivière-du-Loup	Bas-Saint-Laurent
18040	Municipalité	Notre-Dame-du-Rosaire	Montmagny	Chaudière-Appalaches
33085	Paroisse	Notre-Dame-du-Sacré-Coeur-d'Issoudun	Lotbinière	Chaudière-Appalaches
6020	Municipalité	Nouvelle	Avignon	Gaspésie–Îles-de-la-Madeleine
56015	Municipalité	Noyan	Le Haut-Richelieu	Montérégie
45020	Municipalité	Ogden	Memphrémagog	Estrie
72032	Municipalité	Oka	Deux-Montagnes \ Communauté métropolitaine de Montréal	Laurentides
45115	Canton	Orford	Memphrémagog	Estrie
69037	Municipalité	Ormstown	Le Haut-Saint-Laurent	Montérégie
84055	Municipalité	Otter Lake	Pontiac	Outaouais
57030	Ville	Otterburn Park	La Vallée-du-Richelieu \ Communauté métropolitaine de Montréal	Montérégie
13015	Paroisse	Packington	Témiscouata	Bas-Saint-Laurent
9040	Municipalité	Padoue	La Mitis	Bas-Saint-Laurent
87025	Municipalité	Palmarolle	Abitibi-Ouest	Abitibi-Témiscamingue
80037	Municipalité	Papineauville	Papineau	Outaouais
38055	Paroisse	Parisville	Bécancour	Centre-du-Québec
5032	Ville	Paspébiac	Bonaventure	Gaspésie–Îles-de-la-Madeleine
2005	Ville	Percé	Le Rocher-Percé	Gaspésie–Îles-de-la-Madeleine
92010	Municipalité	Péribonka	Maria-Chapdelaine	Saguenay–Lac-Saint-Jean
94205	Municipalité	Petit-Saguenay	Le Fjord-du-Saguenay	Saguenay–Lac-Saint-Jean
16005	Municipalité	Petite-Rivière-Saint-François	Charlevoix	Capitale-Nationale
3015	Municipalité	Petite-Vallée	La Côte-de-Gaspé	Gaspésie–Îles-de-la-Madeleine
77030	Municipalité	Piedmont	Les Pays-d'en-Haut	Laurentides
