location,ville,ville_w_regadm,final_lat,final_lon
"0 SAINT URBAIN Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5470555,-73.6656118
"0 SAINTE PAULE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.793957,-74.00456299999999
"0 SAINTE THERESE Saint-Jérôme, QC, Canada","Saint-Jérôme, QC, Canada","Saint-Jérôme,Laurentides, QC, Canada",45.8211276,-74.0557784
"0 TERR HALTE ROUTIERE SAINT ISIDORE C Saint-Isidore-de-Clifton, QC, Canada","Saint-Isidore-de-Clifton, QC, Canada","Saint-Isidore-de-Clifton,Estrie, QC, Canada",45.264905,-71.5115521
"0 VIEILLE UNIVERSITE Québec, QC, Canada","Québec, QC, Canada","Québec,Capitale-Nationale, QC, Canada",46.8155367,-71.2041481
"1 5 KM AU NORD INT FOURNIER ET 197 Gaspé, QC, Canada","Gaspé, QC, Canada","Gaspé,Gaspésie/-Îles-de-la-Madeleine, QC, Canada",NA,NA
"1 7E AVENUE OUEST Macamic, QC, Canada","Macamic, QC, Canada","Macamic,Abitibi-Témiscamingue, QC, Canada",48.755664,-79.002737
"1 9E AVENUE Daveluyville, QC, Canada","Daveluyville, QC, Canada","Daveluyville,Centre-du-Québec, QC, Canada",46.201166,-72.13586579999999
"1 AVENUE DU CASINO Montréal, QC, Canada","Montréal, QC, Canada","Montréal,Montréal, QC, Canada",45.5054811,-73.5257797
"1 BARRON Lachute, QC, Canada","Lachute, QC, Canada","Lachute,Laurentides, QC, Canada",NA,NA
"1 BELVEDERE SUD Sherbrooke, QC, Canada","Sherbrooke, QC, Canada","Sherbrooke,Estrie, QC, Canada",45.398019,-71.89694399999999
"1 BOULEVARD CHAREST Québec, QC, Canada","Québec, QC, Canada","Québec,Capitale-Nationale, QC, Canada",46.84384679999999,-71.2655266
"1 BOULEVARD DES PRDES Saint-Bruno-de-Montarville, QC, Canada","Saint-Bruno-de-Montarville, QC, Canada","Saint-Bruno-de-Montarville,Montérégie, QC, Canada",45.504527,-73.37821629999999
"1 BOULEVARD DU CASINO Gatineau, QC, Canada","Gatineau, QC, Canada","Gatineau,Outaouais, QC, Canada",45.4475799,-75.7274261
"1 BOULEVARD DU PLATEAU Gatineau, QC, Canada","Gatineau, QC, Canada","Gatineau,Outaouais, QC, Canada",45.4351709,-75.7661589
